t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,M,B,K
0.07300000000000005,0.5236072919138288,2.094389217242237,0.00020482117926857527,-0.00014756402204730648,-0.0015157252615119196,0.000321757190036995,-1.3934421146111209e-06,0.25000127416759305,-3.276013709969082e-05,3.194831107097921e-05,0.00595352298781436,0.0,5.0,350.0,2000.0
0.07400000000000005,0.5236074974061432,2.09438906912837,0.00020636287575151726,-0.00014898899555875757,-0.0015373377442866308,0.00032619629134017513,-1.4263013102255861e-06,0.25000130623494543,-3.296745077600525e-05,3.2256819494211576e-05,0.006037694696852038,0.0,5.0,350.0,2000.0
0.07500000000000005,0.5236077044283668,2.094388919595459,0.00020788101674122685,-0.00015040216777926805,-0.0015589424441745544,0.00033063697332586276,-1.4593656139927358e-06,0.2500013386095225,-3.317035090359579e-05,3.2562772771895395e-05,0.006121845111935277,0.0,5.0,350.0,2000.0
0.07600000000000005,0.523607912957169,2.09438876865523,0.00020937605183077437,-0.00015180368735112277,-0.001580539523266313,0.00033507921041069045,-1.4926306591833693e-06,0.2500013712887852,-3.3368931299010663e-05,3.286620308731117e-05,0.0062059746493533414,0.0,5.0,350.0,2000.0
0.07700000000000005,0.523608122969664,2.0943886163192635,0.00021084842069138545,-0.00015319369925880479,-0.0016021291395204795,0.00033952297721808985,-1.526092171966198e-06,0.2500014042702264,-3.356328375555532e-05,3.316714183179182e-05,0.006290083714273415,0.0,5.0,350.0,2000.0
0.07800000000000006,0.5236083344434008,2.0943884625989955,0.00021229855333166129,-0.00015457234503805014,-0.0016237114466895832,0.00034396824899430634,-1.5597459693261762e-06,0.25000143755136994,-3.375349808196673e-05,3.34656196499837e-05,0.006374172699777813,0.0,5.0,350.0,2000.0
0.07900000000000006,0.5236085473563538,2.0943883075057226,0.00021372687034511742,-0.00015593976286438024,-0.001645286594605263,0.00034841500111165214,-1.593587957093856e-06,0.25000147112976995,-3.3939662153232643e-05,3.376166645901392e-05,0.0064582419888785545,0.0,5.0,350.0,2000.0
0.08000000000000006,0.5236087616869131,2.094388151050605,0.00021513378315803062,-0.0001572960877679226,-0.0016668547290429236,0.0003528632098306675,-1.6276141279192302e-06,0.2500015050030102,-3.412186194570181e-05,3.4055311494999836e-05,0.006542291952832546,0.0,5.0,350.0,2000.0
0.08100000000000006,0.523608977413876,2.094387993244669,0.0002165196942576296,-0.00015864145163304848,-0.0016884159923580475,0.0003573128510188059,-1.661820559689664e-06,0.25000153916870316,-3.430018159417783e-05,3.434658331297011e-05,0.006626322954699569,0.0,5.0,350.0,2000.0
0.08200000000000006,0.523609194516438,2.0943878340988107,0.0002178849974287319,-0.0001599759835345615,-0.0017099705228598781,0.00036176390206351164,-1.6962034134204718e-06,0.25000157362448977,-3.447470340905596e-05,3.463550985965128e-05,0.0067103353445832565,0.0,5.0,350.0,2000.0
